교과목, 학점, 교과목코드
이동통신시스템공학(대학원),3,정통609
사물인터넷기초,3,정통227
컴퓨터통신,3,정통243
회로이론및실험,4,정통245
디지털논리회로및실험,4,정통246
디지털논리회로및실험,4,정통246
정보통신응용프로그래밍,3,정통277
정보보안,3,정통311
신호및시스템,3,정통349
통신이론,3,정통376
확률및랜덤프로세스,3,정통390
IT신기술세미나1,1,정통478
컴퓨터구조,3,정통305
컴퓨터구조,3,정통305
임베디드시스템,3,정통405
광통신,3,정통412
ICT창업,3,정통415
정보통신공학특강,3,정통420
캡스톤디자인1,3,정통507
캡스톤디자인2,3,정통508
