교과목, 학점, 교과목코드
성서의이해,2,all
채플,0,all
현대사회와기독교윤리,2,all
종교와과학,2,all
종교와과학,2,all
글쓰기,3,all
글쓰기,3,all
발표와토의,3,all
영어1,2,all
영어1,2,all
영어1,2,all
영어2,2,all
영어회화1,1,all
영어회화1,1,all
영어회화1,1,all
영어회화1,1,all
영어회화2,1,all
영어회화2,1,all
철학과인간,3,core
한국근현대사의이해,3,core
역사와문명,3,core
세계화와사회변화,3,core
세계화와사회변화,3,core
민주주의와현대사회,3,core
환경과인간,3,core
기독교와문화,2,all
영어3,2,all
영어3,2,all
영어회화3,1,all
영어회화3,1,all
영어회화3,1,all
창업입문,3,core
글로벌문화,3,core
고전으로읽는인문학,3,core
여성·소수자·공동체,3,core
예술과창조성,3,core
예술과창조성,3,core
우주생명마음,3,core
인간심리의이해,3,basic
서양철학입문,3,basic
토론의방법,3,basic
일본의언어와문화,3,basic
에니어그램을통한자기발견,2,basic
동양미술사입문,3,basic
한국미술사입문,3,basic
서양미술사입문,3,basic
디자인사,3,basic
디자인개론,3,basic
서양건축사,3,basic
합창지휘,3,basic
영화와예술,3,basic
공간디자인이해,3,basic
미술사의이해,3,basic
동서양미술과미학,3,basic
건축학개론,2,basic
기초댄스1,2,basic
뮤지컬음악의이해1,2,basic
서양미술의발자취,3,basic
뮤지컬공연감상,3,basic
한국건축사,3,basic
인간관계와커뮤니케이션,3,basic
미시경제학원론,3,basic
미적분학1,3,basic
미적분학1,3,basic
미적분학2,3,basic
공학수학1,3,basic
공학수학1,3,basic
통계학개론,3,basic
선형대수학개론,3,basic
선형대수학개론,3,basic
물리학1,3,basic
물리학1,3,basic
물리학2,3,basic
물리학실험1,1,basic
물리학실험1,1,basic
일반생물학,3,basic
생물학1,3,basic
생물학실험1,1,basic
일반화학,3,basic
일반화학실험,1,basic
일반화학실험,1,basic
화학1,3,basic
화학실험1,1,basic
화학실험1,1,basic
고급이산수학,3,basic
일반생물학실험,1,basic
미적분학연습1,1,basic
현대문명과물리,3,basic
기술과경영,3,basic
창의공학,3,basic
전공자유학부세미나,1,basic
산업경영,3,basic
게임과인간심리,3,basic
스포츠와체육의탐구,3,basic
교양바둑,2,basic
TOEIC,3,basic
TOEIC,3,basic
중국어입문1,3,basic
C언어,3,basic
OA활용,3,basic
CAD개론,3,basic
C++Programming,3,basic
인터넷과홈페이지제작,3,basic
컴퓨터와정보화사회,3,basic
프리젠테이션제작및실습,3,basic
기독교와리더쉽,2,general
기독교와성결혼가정,2,general
영화와철학,3,general
한국의역사와문화,3,general
미학의이해,2,general
지중해문화여행,3,general
예술과디자인,2,general
국악의이해,2,general
사진영상미디어의이해,3,general
금융시장의이해,3,general
현대가족과부모,2,general
현대중국의이해,2,general
글로벌리더를위한글로벌매너,3,general
자기경영과실전취업준비,2,general
대한민국1%가될수있는재태크상식,3,general
이미지관리와커뮤니케이션,3,general
사례로배우는기업가정신과창업,3,general
대한민국1%가될수있는소자본창업성공론,3,general
공학경제,3,general
기초미적분학,3,general
기초미적분학,3,general
교양골프,2,general
응급처치법,3,general
교양탁구,2,general
교양볼링,2,general
교양요가필라테스,2,general
교양테니스,2,general
해양레포츠,2,general
교양축구,2,general
교양농구,2,general
교양소프트볼,2,general
영양과운동,3,general
장애인의이해,3,general
교양바둑입문,3,general
현대인과정신건강,3,general
릿지등반,2,general
실용한의학,3,general
태권도,2,general
뉴스포츠,2,general
교양일본어,3,general
중급한국어1,3,general
중급한국어2,3,general
비즈니스영어,3,general
초급불어,3,general
기초영어,2,general
글로벌잉글리쉬1,2,general
쉽게!쉽게!실생활일본어첫걸음,3,general
한국어문법초급,3,general
한국어회화초급,3,general
한국어독해초급,3,general
한국어활용초급,3,general
교양포토샵,2,general
방목석좌교수특강,2,general
용인학,2,general
교수(김상유)세미나,1,general
교수(이동준)세미나,1,general
교수(백승화)세미나,1,general
교수(김인택)세미나,1,general
교수(이종명)세미나,1,general
교수(신완식)세미나,1,general
교수(박장근)세미나,1,general
교수(김창은)세미나,1,general
교수(김재완)세미나,1,general
교수(박윤선)세미나,1,general
교수(조규근)세미나,1,general
교수(남치형)세미나,1,general
교수(서재홍)세미나,1,general
교수(조진호)세미나,1,general
교수(장경호)세미나,1,general
교수(고성희)세미나,1,general
교수(윤태식)세미나,1,general
교수(신찬선)세미나,1,general
교수(박종성-신소재)세미나,1,general
교수(박종성-체육)세미나,1,general
교수(최덕)세미나,1,general
교수(송경희)세미나,1,general
교수(옥태범)세미나,1,general
교수(이종우)세미나,1,general
교수(오상은)세미나,1,general
교수(이정선)세미나,1,general
교수(최양현)세미나,1,general
교수(임경훈)세미나,1,general
교수(김정명)세미나,1,general
교수(홍은경)세미나,1,general
교수(양지영)세미나,1,general
교수(이복남)세미나,1,general
교수(최일규)세미나,1,general
교수(이성효)세미나,1,general
교수(손성우)세미나,1,general
교수(이지연)세미나,1,general
교수(김인옥)세미나,1,general
교수(엄용희)세미나,1,general
교수(이보경)세미나,1,general
교수(김재덕)세미나,1,general
교수(홍덕헌)세미나,1,general
교수(윤갑진)세미나,1,general
교수(이지우)세미나,1,general
교수(조종원)세미나,1,general
교수(이동기)세미나,1,general
교수(이안나)세미나,1,general
교수(박혜련)세미나,1,general
교수(이원근)세미나,1,general
교수(이창로)세미나,1,general
교수(서동선)세미나,1,general
교수(박원택)세미나,1,general
교수(박재현)세미나,1,general
교수(염대현)세미나,1,general
교수(임연수)세미나,1,general
교수(김동훈)세미나,1,general
교수(김동욱)세미나,1,general
교수(김도현-산업공)세미나,1,general
교수(김정수)세미나,1,general
교수(장재덕)세미나,1,general
교수(박승은)세미나,1,general
교수(장윤희)세미나,1,general
교수(하민우)세미나,1,general
교수(박태섭)세미나,1,general
교수(김주학)세미나,1,general
교수(노갑택)세미나,1,general
교수(류중탁)세미나,1,general
교수(김경래)세미나,1,general
교수(김진선)세미나,1,general
교수(조원득)세미나,1,general
교수(정종삼)세미나,1,general
교수(최옥경)세미나,1,general
교수(박용태)세미나,1,general
교수(박홍열)세미나,1,general
교수(김영민)세미나,1,general
전공과진로1,1,general
전공과진로2,1,general
전공과진로2,1,general
전공과창업,1,general
교육학개론,2,general
교육심리,2,general
생활지도와상담,2,general
교육과정,2,general
특수교육학개론,2,general
교육행정및교육경영,2,general
교육방법및교육공학,2,general
교육사회,2,general
교육실습,2,general
교직실무,2,general
영어1,2,all
영어회화1,1,all
운동생리학,3,basic
스포츠맛사지,3,basic
스포츠테이핑,3,basic
